"Player_name","Year","Level","T","PA","AB","AVG","HR","SLG","OBP","Kpct","BBpct","BABIP","wOBA","BABIP_denom","wOBA_denom"
"會澤　翼",2012,"Top","C",70,66,0.197,0,0.242,0.243,10,2.86,0.22,0.221,59,70
"赤松　真人",2012,"Top","C",246,207,0.242,3,0.314,0.313,13.4,7.32,0.273,0.283,172,230
"安部　友裕",2012,"Top","C",135,119,0.252,1,0.303,0.294,15.6,5.19,0.299,0.265,97,126
"天谷　宗一郎",2012,"Top","C",397,359,0.265,6,0.373,0.329,16.1,8.06,0.307,0.312,290,394
"石井　琢朗",2012,"Top","C",47,42,0.167,0,0.19,0.255,8.5,10.64,0.184,0.212,38,47
"石原　慶幸",2012,"Top","C",250,217,0.24,1,0.323,0.311,14.8,8.8,0.283,0.278,180,236
"磯村　嘉孝",2012,"Top","C",3,3,0.333,0,0.333,0.333,0,0,0.333,0.288,3,3
"今井　啓介",2012,"Top","C",23,23,0.043,0,0.043,0.043,26.1,0,0.059,0.038,17,23
"今村　猛",2012,"Top","C",1,1,0,0,0,0,0,0,0,0,1,1
"岩本　貴裕",2012,"Top","C",242,239,0.268,6,0.406,0.274,17.8,0.83,0.305,0.295,190,241
"上村　和裕",2012,"Top","C",0,0,0,0,0,0,0,0,0,0,0,0
"梅津　智弘",2012,"Top","C",0,0,0,0,0,0,0,0,0,0,0,0
"エルドレッド",2012,"Top","C",251,225,0.262,11,0.453,0.327,26.7,7.97,0.32,0.337,150,250
"江草　仁貴",2012,"Top","C",0,0,0,0,0,0,0,0,0,0,0,0
"大島　崇行",2012,"Top","C",0,0,0,0,0,0,0,0,0,0,0,0
"大竹　寛",2012,"Top","C",45,36,0.139,0,0.139,0.139,22.2,0,0.192,0.12,26,36
"河内　貴哉",2012,"Top","C",0,0,0,0,0,0,0,0,0,0,0,0
"菊池　涼介",2012,"Top","C",234,201,0.229,2,0.294,0.254,17.9,2.56,0.278,0.241,158,209
"菊地原　毅",2012,"Top","C",0,0,0,0,0,0,0,0,0,0,0,0
"岸本　秀樹",2012,"Top","C",0,0,0,0,0,0,0,0,0,0,0,0
"木村　昇吾",2012,"Top","C",55,46,0.152,0,0.196,0.235,12.7,5.45,0.179,0.206,39,51
"倉　義和",2012,"Top","C",160,133,0.195,1,0.263,0.296,12.5,8.75,0.223,0.262,112,152
"栗原　健太",2012,"Top","C",84,76,0.211,0,0.211,0.262,17.9,7.14,0.254,0.214,63,84
"小窪　哲也",2012,"Top","C",52,43,0.209,0,0.279,0.244,11.5,1.92,0.243,0.236,37,45
"サファテ",2012,"Top","C",1,1,0,0,0,0,100,0,0,0,0,1
"齊藤　悠葵",2012,"Top","C",6,5,0,0,0,0,16.7,0,0,0,4,5
"篠田　純平",2012,"Top","C",8,7,0,0,0,0,50,0,0,0,3,7
"白濱　裕太",2012,"Top","C",72,61,0.164,0,0.18,0.239,26.4,8.33,0.238,0.175,42,64
"鈴木　将光",2012,"Top","C",3,3,0.333,0,0.333,0.333,33.3,0,0.5,0.288,2,3
"梵　英心",2012,"Top","C",575,499,0.244,10,0.359,0.311,12.2,8.7,0.264,0.294,425,552
"堂林　翔太",2012,"Top","C",554,488,0.242,14,0.395,0.321,27.1,7.94,0.318,0.317,327,547
"戸田　隆矢",2012,"Top","C",1,1,1,0,1,1,0,0,1,0.865,1,1
"中崎　翔太",2012,"Top","C",2,2,0,0,0,0,50,0,0,0,1,2
"中田　廉",2012,"Top","C",1,1,0,0,0,0,0,0,0,0,1,1
"中東　直己",2012,"Top","C",33,29,0.31,0,0.31,0.355,15.2,6.06,0.375,0.296,24,31
"中村　恭平",2012,"Top","C",0,0,0,0,0,0,0,0,0,0,0,0
"ニック",2012,"Top","C",204,181,0.238,9,0.431,0.324,20.6,10.78,0.262,0.33,130,203
"野村　祐輔",2012,"Top","C",52,42,0.095,0,0.119,0.174,36.5,7.69,0.174,0.146,23,46
"バリントン",2012,"Top","C",51,49,0.122,0,0.143,0.122,37.3,0,0.2,0.115,30,49
